4,80,12.00,0.20
4,90,45.00,0.50
4,100,12.00,0.20
4,110,23.00,0.30
4,120,23.00,0.30
4,130,1.00,0.10
4,140,1.00,0.10
4,150,23.00,0.30
4,160,67.00,0.70
4,170,34.00,0.40
4,180,34.00,0.40
4,190,34.00,0.40
4,200,1.00,0.10
4,210,23.00,0.30
4,220,12.00,0.20
4,230,12.00,0.20
4,240,12.00,0.20
4,250,12.00,0.20
4,260,23.00,0.30
4,270,-10.00,0.00
4,280,12.00,0.20
4,290,34.00,0.40
4,300,12.00,0.20
4,310,12.00,0.20
4,320,34.00,0.40
4,330,1.00,0.10
4,340,34.00,0.40
4,350,45.00,0.50
4,360,1.00,0.10
4,370,1.00,0.10
4,380,23.00,0.30
4,390,12.00,0.20
4,400,1.00,0.10
4,410,23.00,0.30
4,420,23.00,0.30
4,430,12.00,0.20
4,440,12.00,0.20
4,450,12.00,0.20
4,460,34.00,0.40
4,470,12.00,0.20
4,480,12.00,0.20
4,490,12.00,0.20
4,500,34.00,0.40
4,510,23.00,0.30
4,520,23.00,0.30
4,530,34.00,0.40
4,540,34.00,0.40
4,550,-10.00,0.00
4,560,12.00,0.20
4,570,1.00,0.10
4,580,12.00,0.20
4,590,1.00,0.10
4,600,1.00,0.10
4,610,45.00,0.50
4,620,23.00,0.30
4,630,1.00,0.10
4,640,12.00,0.20
4,650,34.00,0.40
4,660,1.00,0.10
